file_name,transcribed,diarized,transcribe_time_sec,timestamp
S.S26X3d.30.03.26.webm,TRUE,FALSE,281.32,4/6/26 12:35
S.T6JBJD.03.04.26.webm,TRUE,FALSE,2:29,4/6/26 13:01
S.cd4SUK.28.03.26.webm,TRUE,FALSE,4:11,4/6/26 13:22
S.QXXQAD.28.030.26.webm,TRUE,FALSE,3:16,4/6/26 13:26
S.4ALNGC.28.03.26.webm,TRUE,FALSE,2:48,4/6/26 13:32
S.6AHSJ3.03.04.26.webm,TRUE,FALSE,,4/6/26
S.BTBUMC.03.04.26.webm,TRUE,FALSE,,4/6/26
S.DF5dF2.02.04.26.webm,TRUE,FALSE,,4/6/26
S.XMUP5T.29.03.26.webm,TRUE,FALSE,,4/6/26
S.YV34CR.28.03.26.webm,TRUE,FALSE,,4/6/26
